Age  group,Job,Marital Status,Education level,Housing Loan,Personal Loan,Contact,Month,Duration(Sec),Average of Duration,Campaign,Outcome(Yes/No),Final Out come,prev campaign response,prsnt campaign response
Young age,Unknown,Single,Primary,1,1,telephone,may,374,258.2850101971448,6,no,0,0,0
Old age,Retired,Married,Primary,1,0,telephone,may,123,258.2850101971448,1,no,0,0,0
Young age,Blue-Collar,Married,Primary,1,0,telephone,may,166,258.2850101971448,1,no,0,0,0
Middle age,Blue-Collar,Single,Professional,0,0,telephone,may,128,258.2850101971448,1,no,0,0,0
Middle age,Self-Employed,Single,Professional,1,0,telephone,may,37,258.2850101971448,1,no,0,0,0
Young age,Technician,Married,Professional,1,0,telephone,may,35,258.2850101971448,1,no,0,0,0
Middle age,Blue-Collar,Married,Primary,1,1,telephone,may,668,258.2850101971448,7,no,0,0,0
Middle age,Blue-Collar,Married,Primary,0,0,telephone,may,88,258.2850101971448,5,no,0,0,0
Middle age,Services,Divorced,High School,1,0,telephone,may,77,258.2850101971448,2,no,0,0,0
Middle age,Admin.,Married,High School,1,1,telephone,may,358,258.2850101971448,3,no,0,0,0
Middle age,Services,Single,Primary,0,0,telephone,may,312,258.2850101971448,1,no,0,0,0
Middle age,Admin.,Divorced,Professional,0,0,telephone,may,134,258.2850101971448,3,no,0,0,0
Middle age,Admin.,Single,Unknown,0,1,telephone,may,61,258.2850101971448,4,no,0,0,0
Young age,Student,Single,Professional,0,0,telephone,may,258,258.2850101971448,1,no,0,0,0
Middle age,Self-Employed,Married,High School,0,0,telephone,may,131,258.2850101971448,2,no,0,0,0
Young age,Technician,Divorced,Professional,0,0,telephone,may,71,258.2850101971448,1,no,0,0,0
Middle age,Blue-Collar,Married,Primary,1,0,telephone,may,153,258.2850101971448,1,no,0,0,0
Young age,Admin.,Single,Professional,0,0,telephone,may,131,258.2850101971448,1,no,0,0,0
Middle age,Management,Married,Primary,1,0,telephone,may,219,258.2850101971448,1,no,0,0,0
Middle age,Blue-Collar,Married,Primary,1,1,telephone,may,468,258.2850101971448,1,no,0,0,0
Young age,Management,Single,High School,1,0,telephone,may,326,258.2850101971448,2,no,0,0,0
Young age,Admin.,Single,High School,0,1,telephone,may,412,258.2850101971448,1,no,0,0,0
Middle age,Technician,Married,Professional,1,1,telephone,may,579,258.2850101971448,1,no,0,0,0
Middle age,Technician,Married,Professional,1,0,telephone,may,277,258.2850101971448,3,no,0,0,0
Middle age,Entrepreneur,Married,Primary,0,0,telephone,may,316,258.2850101971448,2,no,0,0,0
Middle age,Management,Married,Primary,0,0,telephone,may,882,258.2850101971448,1,yes,1,0,1
Middle age,Blue-Collar,Divorced,Primary,0,0,telephone,may,380,258.2850101971448,1,no,0,0,0
Middle age,Blue-Collar,Divorced,Primary,0,0,telephone,may,169,258.2850101971448,1,no,0,0,0
Middle age,Admin.,Married,High School,1,0,telephone,may,124,258.2850101971448,1,no,0,0,0
Middle age,Services,Married,Unknown,1,1,telephone,may,122,258.2850101971448,6,no,0,0,0
Old age,Retired,Divorced,Professional,1,0,telephone,may,83,258.2850101971448,4,no,0,0,0
Young age,Services,Single,High School,1,0,telephone,may,318,258.2850101971448,1,no,0,0,0
Middle age,Technician,Married,Professional,0,0,telephone,may,29,258.2850101971448,3,no,0,0,0
Middle age,Admin.,Married,High School,1,0,telephone,may,218,258.2850101971448,1,no,0,0,0
Middle age,Blue-Collar,Married,Professional,0,0,telephone,may,144,258.2850101971448,2,no,0,0,0
Young age,Blue-Collar,Single,Primary,1,0,telephone,may,130,258.2850101971448,2,no,0,0,0
Middle age,Technician,Married,Unknown,1,0,telephone,may,429,258.2850101971448,1,no,0,0,0
Middle age,Management,Married,Professional,0,0,telephone,may,27,258.2850101971448,1,no,0,0,0
Young age,Services,Single,High School,1,0,telephone,may,343,258.2850101971448,2,no,0,0,0
Middle age,Blue-Collar,Married,Primary,1,0,telephone,may,385,258.2850101971448,1,no,0,0,0
Middle age,Admin.,Married,Professional,0,0,telephone,may,167,258.2850101971448,3,no,0,0,0
Middle age,Technician,Married,Professional,1,1,telephone,may,89,258.2850101971448,1,no,0,0,0
Middle age,Admin.,Divorced,Professional,0,0,telephone,may,95,258.2850101971448,1,no,0,0,0
Middle age,Blue-Collar,Married,Primary,0,0,telephone,may,289,258.2850101971448,1,no,0,0,0
Old age,Retired,Married,Primary,1,0,telephone,may,156,258.2850101971448,1,no,0,0,0
Young age,Services,Single,Primary,1,1,telephone,may,112,258.2850101971448,1,no,0,0,0
Middle age,Blue-Collar,Married,Primary,1,1,telephone,may,351,258.2850101971448,1,no,0,0,0
Young age,Admin.,Married,Professional,0,0,telephone,may,198,258.2850101971448,1,no,0,0,0
Middle age,Blue-Collar,Married,Primary,0,0,telephone,may,165,258.2850101971448,1,no,0,0,0
Middle age,Services,Divorced,High School,1,0,telephone,may,25,258.2850101971448,1,no,0,0,0
Middle age,Services,Divorced,Primary,0,0,telephone,may,134,258.2850101971448,2,no,0,0,0
Middle age,Management,Married,Primary,0,0,telephone,may,268,258.2850101971448,6,no,0,0,0
Middle age,Services,Married,Primary,0,1,telephone,may,298,258.2850101971448,1,no,0,0,0
Middle age,Technician,Married,Professional,1,0,telephone,may,188,258.2850101971448,2,no,0,0,0
Middle age,Blue-Collar,Married,Primary,0,0,telephone,may,241,258.2850101971448,1,no,0,0,0
Young age,Self-Employed,Single,High School,1,0,telephone,may,201,258.2850101971448,1,no,0,0,0
Middle age,Management,Married,Professional,1,0,telephone,may,27,258.2850101971448,1,no,0,0,0
Young age,Technician,Single,Professional,1,1,telephone,may,206,258.2850101971448,1,no,0,0,0
Young age,Blue-Collar,Married,Primary,1,1,telephone,may,68,258.2850101971448,1,no,0,0,0
Middle age,Technician,Married,Primary,1,0,telephone,may,82,258.2850101971448,3,no,0,0,0
Middle age,Services,Married,High School,1,1,telephone,may,94,258.2850101971448,2,no,0,0,0
Middle age,Management,Married,Professional,0,0,telephone,may,97,258.2850101971448,2,no,0,0,0
Middle age,Blue-Collar,Married,Primary,1,0,telephone,may,138,258.2850101971448,1,no,0,0,0
Middle age,Management,Married,Primary,1,1,telephone,may,285,258.2850101971448,2,no,0,0,0
Young age,Student,Single,High School,0,0,telephone,may,135,258.2850101971448,1,no,0,0,0
Old age,Technician,Married,Professional,1,0,telephone,may,483,258.2850101971448,2,yes,1,0,1
Young age,Admin.,Single,Professional,1,0,telephone,may,267,258.2850101971448,1,no,0,0,0
Middle age,Housemaid,Divorced,Primary,0,0,telephone,may,382,258.2850101971448,2,no,0,0,0
Middle age,Admin.,Single,Professional,1,0,telephone,may,55,258.2850101971448,2,no,0,0,0
Middle age,Management,Divorced,High School,1,1,telephone,may,259,258.2850101971448,3,no,0,0,0
Middle age,Blue-Collar,Married,Primary,0,1,telephone,may,18,258.2850101971448,1,no,0,0,0
Young age,Student,Single,Primary,0,0,telephone,may,234,258.2850101971448,1,no,0,0,0
Middle age,Blue-Collar,Married,Primary,1,0,telephone,may,792,258.2850101971448,4,no,0,0,0
Young age,Technician,Married,Professional,0,0,telephone,may,95,258.2850101971448,1,no,0,0,0
Middle age,Blue-Collar,Married,Unknown,1,1,telephone,may,943,258.2850101971448,2,yes,1,0,1
Middle age,Blue-Collar,Married,Primary,1,0,telephone,may,798,258.2850101971448,1,no,0,0,0
Middle age,Blue-Collar,Married,Primary,0,0,telephone,may,168,258.2850101971448,1,no,0,0,0
Middle age,Blue-Collar,Married,Primary,1,0,telephone,may,84,258.2850101971448,12,no,0,0,0
Young age,Blue-Collar,Married,Primary,1,1,telephone,may,100,258.2850101971448,3,no,0,0,0
Middle age,Services,Married,Primary,1,0,telephone,may,85,258.2850101971448,4,no,0,0,0
Middle age,Services,Divorced,High School,0,0,telephone,may,143,258.2850101971448,1,no,0,0,0
Middle age,Unknown,Married,Primary,1,1,telephone,may,115,258.2850101971448,1,no,0,0,0
Middle age,Blue-Collar,Married,Primary,1,0,telephone,may,23,258.2850101971448,1,no,0,0,0
Young age,Blue-Collar,Married,Primary,1,1,telephone,may,73,258.2850101971448,1,no,0,0,0
Middle age,Management,Married,High School,0,0,telephone,may,31,258.2850101971448,1,no,0,0,0
Old age,Housemaid,Married,Primary,0,0,telephone,may,182,258.2850101971448,2,no,0,0,0
Middle age,Blue-Collar,Married,Primary,1,1,telephone,may,190,258.2850101971448,1,no,0,0,0
Middle age,Admin.,Married,Professional,0,0,telephone,may,351,258.2850101971448,1,no,0,0,0
Young age,Self-Employed,Married,Professional,0,1,telephone,may,179,258.2850101971448,1,no,0,0,0
Middle age,Housemaid,Married,Professional,0,0,telephone,may,237,258.2850101971448,1,no,0,0,0
Middle age,Blue-Collar,Married,Primary,1,0,telephone,may,107,258.2850101971448,2,no,0,0,0
Middle age,Self-Employed,Married,Primary,0,0,telephone,may,529,258.2850101971448,3,no,0,0,0
Young age,Blue-Collar,Married,Primary,1,0,telephone,may,36,258.2850101971448,1,no,0,0,0
Young age,Management,Single,Professional,1,1,telephone,may,122,258.2850101971448,2,no,0,0,0
Middle age,Blue-Collar,Married,Primary,0,0,telephone,may,198,258.2850101971448,1,no,0,0,0
Young age,Admin.,Married,Professional,1,1,telephone,may,67,258.2850101971448,1,no,0,0,0
Young age,Services,Married,Primary,1,0,telephone,may,238,258.2850101971448,3,no,0,0,0
Young age,Admin.,Married,Professional,0,0,telephone,may,81,258.2850101971448,1,no,0,0,0
Young age,Blue-Collar,Single,Primary,0,0,telephone,may,496,258.2850101971448,3,no,0,0,0
Middle age,Technician,Single,Professional,0,1,telephone,may,114,258.2850101971448,2,no,0,0,0
Middle age,Technician,Married,Professional,0,0,telephone,may,156,258.2850101971448,5,no,0,0,0
Old age,Retired,Married,Primary,0,0,telephone,may,211,258.2850101971448,2,no,0,0,0
Middle age,Unemployed,Married,Primary,0,0,telephone,may,265,258.2850101971448,1,no,0,0,0
Young age,Blue-Collar,Married,Primary,1,0,telephone,may,48,258.2850101971448,2,no,0,0,0
Young age,Services,Married,High School,1,1,telephone,may,104,258.2850101971448,2,no,0,0,0
Middle age,Management,Married,Unknown,0,0,telephone,may,610,258.2850101971448,1,no,0,0,0
Young age,Blue-Collar,Divorced,Primary,0,0,telephone,may,287,258.2850101971448,1,no,0,0,0
Young age,Admin.,Single,High School,1,0,telephone,may,68,258.2850101971448,2,no,0,0,0
Young age,Self-Employed,Married,Professional,1,1,telephone,may,167,258.2850101971448,4,no,0,0,0
Middle age,Blue-Collar,Married,Professional,0,0,telephone,may,336,258.2850101971448,1,no,0,0,0
Middle age,Technician,Married,Professional,0,0,telephone,may,202,258.2850101971448,1,no,0,0,0
Young age,Blue-Collar,Married,Primary,0,0,telephone,may,228,258.2850101971448,1,no,0,0,0
Middle age,Admin.,Married,High School,0,0,telephone,may,192,258.2850101971448,1,no,0,0,0
Young age,Admin.,Married,Professional,1,0,telephone,may,23,258.2850101971448,1,no,0,0,0
Middle age,Blue-Collar,Single,High School,1,1,telephone,may,260,258.2850101971448,1,no,0,0,0
Middle age,Blue-Collar,Married,Primary,1,1,telephone,may,387,258.2850101971448,1,no,0,0,0
Young age,Admin.,Married,High School,0,0,telephone,may,70,258.2850101971448,1,no,0,0,0
Middle age,Unemployed,Married,Primary,1,0,telephone,may,272,258.2850101971448,1,no,0,0,0
Middle age,Services,Divorced,High School,1,1,telephone,may,158,258.2850101971448,2,no,0,0,0
Young age,Admin.,Married,High School,1,0,telephone,may,35,258.2850101971448,3,no,0,0,0
Middle age,Blue-Collar,Married,Primary,0,0,telephone,may,607,258.2850101971448,1,yes,1,0,1
Middle age,Technician,Divorced,Primary,1,1,telephone,may,257,258.2850101971448,1,no,0,0,0
Young age,Blue-Collar,Single,Primary,0,1,telephone,may,36,258.2850101971448,2,no,0,0,0
Middle age,Blue-Collar,Single,Primary,0,0,telephone,may,214,258.2850101971448,3,no,0,0,0
Middle age,Admin.,Married,Professional,1,0,telephone,may,105,258.2850101971448,2,no,0,0,0
Young age,Blue-Collar,Single,Primary,1,0,telephone,may,260,258.2850101971448,9,no,0,0,0
Young age,Admin.,Single,High School,0,0,telephone,may,197,258.2850101971448,4,no,0,0,0
Young age,Self-Employed,Single,Primary,0,0,telephone,may,174,258.2850101971448,2,no,0,0,0
Young age,Blue-Collar,Married,Primary,0,0,telephone,may,144,258.2850101971448,2,no,0,0,0
Middle age,Admin.,Married,Primary,0,0,telephone,may,222,258.2850101971448,2,no,0,0,0
Middle age,Services,Married,Professional,0,0,telephone,may,136,258.2850101971448,2,no,0,0,0
Old age,Retired,Married,Primary,1,0,telephone,may,546,258.2850101971448,12,no,0,0,0
Middle age,Admin.,Married,Primary,0,0,telephone,may,49,258.2850101971448,2,no,0,0,0
Young age,Admin.,Single,Primary,1,1,telephone,may,335,258.2850101971448,4,no,0,0,0
Young age,Self-Employed,Single,Professional,0,0,telephone,may,105,258.2850101971448,1,no,0,0,0
Young age,Housemaid,Single,High School,0,0,telephone,may,1203,258.2850101971448,3,no,0,0,0
Young age,Services,Married,High School,0,0,telephone,may,1022,258.2850101971448,4,yes,1,0,1
Middle age,Admin.,Divorced,Professional,1,0,telephone,may,128,258.2850101971448,1,no,0,0,0
Young age,Self-Employed,Married,Professional,0,0,telephone,may,258,258.2850101971448,1,no,0,0,0
Young age,Admin.,Married,High School,0,0,telephone,may,199,258.2850101971448,1,no,0,0,0
Middle age,Blue-Collar,Married,Primary,1,0,telephone,may,364,258.2850101971448,1,no,0,0,0
Old age,Technician,Married,Professional,1,1,telephone,may,123,258.2850101971448,1,no,0,0,0
Middle age,Admin.,Married,Professional,0,0,telephone,may,201,258.2850101971448,14,no,0,0,0
Middle age,Management,Married,Professional,1,1,telephone,may,193,258.2850101971448,3,no,0,0,0
Old age,Retired,Married,Primary,0,0,telephone,may,159,258.2850101971448,3,no,0,0,0
Middle age,Blue-Collar,Married,Primary,0,0,telephone,may,166,258.2850101971448,3,no,0,0,0
Young age,Blue-Collar,Married,Primary,0,0,telephone,may,480,258.2850101971448,1,no,0,0,0
Young age,Technician,Single,Professional,0,0,telephone,may,149,258.2850101971448,4,no,0,0,0
Middle age,Self-Employed,Married,Professional,0,0,telephone,may,396,258.2850101971448,3,no,0,0,0
Middle age,Admin.,Married,Professional,0,0,telephone,may,124,258.2850101971448,3,no,0,0,0
Middle age,Housemaid,Married,Primary,0,0,telephone,may,13,258.2850101971448,1,no,0,0,0
Middle age,Entrepreneur,Married,Professional,0,0,telephone,may,259,258.2850101971448,1,no,0,0,0
Middle age,Blue-Collar,Married,Primary,1,1,telephone,may,162,258.2850101971448,1,no,0,0,0
Middle age,Housemaid,Married,High School,1,1,telephone,may,723,258.2850101971448,1,no,0,0,0
Middle age,Blue-Collar,Married,Primary,0,0,telephone,may,89,258.2850101971448,1,no,0,0,0
Middle age,Blue-Collar,Married,Primary,1,0,telephone,may,257,258.2850101971448,2,no,0,0,0
Young age,Services,Married,Professional,1,1,telephone,may,361,258.2850101971448,2,no,0,0,0
Young age,Services,Single,Professional,1,0,telephone,may,314,258.2850101971448,1,no,0,0,0
Young age,Technician,Married,Professional,1,0,telephone,may,83,258.2850101971448,1,no,0,0,0
Young age,Blue-Collar,Married,Primary,0,0,telephone,may,215,258.2850101971448,1,no,0,0,0
Middle age,Services,Married,High School,1,1,telephone,may,115,258.2850101971448,4,no,0,0,0
Young age,Blue-Collar,Married,Primary,1,0,telephone,may,147,258.2850101971448,3,no,0,0,0
Middle age,Admin.,Divorced,Professional,0,0,telephone,may,102,258.2850101971448,1,no,0,0,0
Middle age,Admin.,Married,Professional,1,1,telephone,may,183,258.2850101971448,7,no,0,0,0
Middle age,Admin.,Married,Primary,0,1,telephone,may,70,258.2850101971448,1,no,0,0,0
Young age,Admin.,Single,High School,1,1,telephone,may,19,258.2850101971448,1,no,0,0,0
Young age,Admin.,Married,High School,0,1,telephone,may,346,258.2850101971448,1,no,0,0,0
Young age,Admin.,Married,Professional,0,0,telephone,may,643,258.2850101971448,1,no,0,0,0
Young age,Services,Single,Professional,1,0,telephone,may,78,258.2850101971448,1,no,0,0,0
Middle age,Blue-Collar,Married,Primary,1,1,telephone,may,133,258.2850101971448,1,no,0,0,0
Young age,Admin.,Married,Professional,1,0,telephone,may,193,258.2850101971448,6,no,0,0,0
Young age,Blue-Collar,Married,Primary,1,0,telephone,may,181,258.2850101971448,1,no,0,0,0
Young age,Blue-Collar,Married,Primary,1,0,telephone,may,513,258.2850101971448,1,no,0,0,0
Young age,Services,Single,High School,0,1,telephone,may,109,258.2850101971448,2,no,0,0,0
Middle age,Blue-Collar,Married,Primary,0,0,telephone,may,263,258.2850101971448,1,no,0,0,0
Young age,Admin.,Single,Primary,0,0,telephone,may,333,258.2850101971448,1,no,0,0,0
Young age,Student,Single,Professional,1,0,telephone,may,104,258.2850101971448,1,no,0,0,0
Middle age,Services,Divorced,High School,1,0,telephone,may,191,258.2850101971448,4,no,0,0,0
Middle age,Blue-Collar,Married,Professional,0,0,telephone,may,571,258.2850101971448,1,no,0,0,0
Young age,Housemaid,Single,High School,1,1,telephone,may,180,258.2850101971448,1,no,0,0,0
Young age,Unemployed,Divorced,Professional,1,1,telephone,may,446,258.2850101971448,3,no,0,0,0
Young age,Unemployed,Married,High School,1,0,telephone,may,107,258.2850101971448,2,no,0,0,0
Middle age,Blue-Collar,Married,Primary,1,0,telephone,may,335,258.2850101971448,3,no,0,0,0
Middle age,Blue-Collar,Married,Primary,1,1,telephone,may,120,258.2850101971448,3,no,0,0,0
Middle age,Blue-Collar,Married,Professional,0,0,telephone,may,219,258.2850101971448,2,no,0,0,0
Middle age,Entrepreneur,Married,Professional,0,0,telephone,may,148,258.2850101971448,1,no,0,0,0
Young age,Blue-Collar,Divorced,Primary,1,1,telephone,may,400,258.2850101971448,2,no,0,0,0
Middle age,Blue-Collar,Divorced,Primary,1,0,telephone,may,503,258.2850101971448,2,no,0,0,0
Middle age,Blue-Collar,Single,Primary,0,0,telephone,may,125,258.2850101971448,5,no,0,0,0
Young age,Blue-Collar,Married,Primary,0,1,telephone,may,329,258.2850101971448,1,no,0,0,0
Young age,Technician,Single,Primary,1,0,telephone,may,194,258.2850101971448,3,no,0,0,0
Young age,Blue-Collar,Divorced,High School,1,0,telephone,may,7,258.2850101971448,1,no,0,0,0
Middle age,Blue-Collar,Divorced,Primary,0,0,telephone,may,53,258.2850101971448,1,no,0,0,0
Young age,Admin.,Married,Professional,1,1,telephone,may,261,258.2850101971448,56,no,0,0,0
Middle age,Blue-Collar,Divorced,Primary,1,1,telephone,may,100,258.2850101971448,1,no,0,0,0
Young age,Technician,Single,Professional,1,1,telephone,may,104,258.2850101971448,1,no,0,0,0
Middle age,Services,Married,High School,1,0,telephone,may,552,258.2850101971448,3,yes,1,0,1
Young age,Services,Single,High School,1,0,telephone,may,345,258.2850101971448,1,no,0,0,0
Young age,Blue-Collar,Married,Primary,0,0,telephone,may,263,258.2850101971448,1,no,0,0,0
Young age,Blue-Collar,Married,Primary,1,1,telephone,may,88,258.2850101971448,6,no,0,0,0
Middle age,Entrepreneur,Married,Professional,0,0,telephone,may,44,258.2850101971448,39,no,0,0,0
Middle age,Services,Divorced,High School,0,1,telephone,may,207,258.2850101971448,3,no,0,0,0
Young age,Services,Single,High School,0,0,telephone,may,401,258.2850101971448,2,no,0,0,0
Middle age,Admin.,Divorced,High School,0,1,telephone,may,178,258.2850101971448,5,no,0,0,0
Young age,Admin.,Divorced,Professional,0,0,telephone,may,53,258.2850101971448,5,no,0,0,0
Young age,Admin.,Married,Professional,0,0,telephone,may,349,258.2850101971448,2,no,0,0,0
Middle age,Entrepreneur,Married,Primary,0,0,telephone,may,34,258.2850101971448,9,no,0,0,0
Middle age,Blue-Collar,Married,Primary,1,0,telephone,may,48,258.2850101971448,3,no,0,0,0
Middle age,Technician,Divorced,Professional,1,1,telephone,may,182,258.2850101971448,11,no,0,0,0
Young age,Technician,Single,Professional,1,1,telephone,may,147,258.2850101971448,1,no,0,0,0
Middle age,Technician,Divorced,High School,1,0,telephone,may,457,258.2850101971448,5,no,0,0,0
Young age,Technician,Single,Professional,1,0,telephone,may,193,258.2850101971448,1,no,0,0,0
Young age,Technician,Married,Professional,0,1,telephone,may,142,258.2850101971448,3,no,0,0,0
Young age,Technician,Single,High School,1,1,telephone,may,123,258.2850101971448,2,no,0,0,0
Middle age,Technician,Divorced,Professional,0,1,telephone,may,65,258.2850101971448,3,no,0,0,0
Young age,Technician,Single,Professional,1,0,telephone,may,420,258.2850101971448,1,no,0,0,0
Young age,Blue-Collar,Married,Professional,1,0,telephone,may,100,258.2850101971448,2,no,0,0,0
Middle age,Blue-Collar,Single,Primary,1,0,telephone,may,403,258.2850101971448,2,no,0,0,0
Young age,Unemployed,Single,High School,1,1,telephone,may,229,258.2850101971448,3,no,0,0,0
Middle age,Blue-Collar,Married,Primary,1,1,telephone,may,445,258.2850101971448,2,no,0,0,0
Middle age,Management,Married,Primary,0,0,telephone,may,206,258.2850101971448,4,no,0,0,0
Young age,Admin.,Single,Professional,1,0,telephone,may,182,258.2850101971448,2,no,0,0,0
Young age,Blue-Collar,Married,Primary,1,0,telephone,may,183,258.2850101971448,2,no,0,0,0
Young age,Blue-Collar,Married,Primary,1,0,telephone,may,140,258.2850101971448,2,no,0,0,0
Young age,Management,Married,Professional,0,0,telephone,may,134,258.2850101971448,3,no,0,0,0
Middle age,Management,Married,Primary,0,0,telephone,may,88,258.2850101971448,35,no,0,0,0
Young age,Admin.,Single,Professional,0,0,telephone,may,234,258.2850101971448,13,no,0,0,0
Young age,Blue-Collar,Married,Primary,1,1,telephone,may,215,258.2850101971448,3,no,0,0,0
Middle age,Blue-Collar,Married,Primary,1,0,telephone,may,194,258.2850101971448,5,no,0,0,0
Young age,Services,Married,High School,0,0,telephone,may,394,258.2850101971448,2,no,0,0,0
Middle age,Services,Married,High School,0,0,telephone,may,5,258.2850101971448,2,no,0,0,0
Middle age,Admin.,Married,Professional,0,0,telephone,may,408,258.2850101971448,2,no,0,0,0
Young age,Blue-Collar,Married,Primary,0,1,telephone,may,114,258.2850101971448,2,no,0,0,0
Young age,Blue-Collar,Married,Professional,1,0,telephone,may,210,258.2850101971448,2,no,0,0,0
Young age,Admin.,Single,High School,1,0,telephone,may,243,258.2850101971448,6,no,0,0,0
Young age,Technician,Married,Professional,0,0,telephone,may,180,258.2850101971448,6,no,0,0,0
Young age,Admin.,Single,High School,0,1,telephone,may,8,258.2850101971448,2,no,0,0,0
Young age,Admin.,Married,High School,0,0,telephone,may,313,258.2850101971448,2,no,0,0,0
Young age,Blue-Collar,Married,Primary,1,0,telephone,may,1622,258.2850101971448,2,yes,1,0,1
Old age,Admin.,Married,Professional,1,0,telephone,may,324,258.2850101971448,2,no,0,0,0
Young age,Blue-Collar,Married,Primary,1,0,telephone,may,205,258.2850101971448,3,no,0,0,0
Young age,Blue-Collar,Married,Primary,1,0,telephone,may,194,258.2850101971448,2,no,0,0,0
Young age,Admin.,Married,High School,0,0,telephone,may,165,258.2850101971448,5,no,0,0,0
Middle age,Entrepreneur,Divorced,Professional,1,1,telephone,may,86,258.2850101971448,7,no,0,0,0
Middle age,Admin.,Divorced,High School,0,0,telephone,may,160,258.2850101971448,2,no,0,0,0
Middle age,Blue-Collar,Married,Professional,1,0,telephone,may,492,258.2850101971448,6,no,0,0,0
Middle age,Services,Divorced,Professional,0,0,telephone,may,187,258.2850101971448,3,no,0,0,0
Middle age,Technician,Married,Professional,1,0,telephone,may,197,258.2850101971448,4,no,0,0,0
Middle age,Technician,Married,Professional,1,0,telephone,may,95,258.2850101971448,5,no,0,0,0
Young age,Blue-Collar,Married,Primary,1,0,telephone,may,159,258.2850101971448,3,no,0,0,0
Middle age,Services,Married,High School,1,0,telephone,may,967,258.2850101971448,6,yes,1,0,1
Middle age,Services,Married,High School,1,0,telephone,may,260,258.2850101971448,3,no,0,0,0
Middle age,Blue-Collar,Married,Primary,1,0,telephone,may,109,258.2850101971448,2,no,0,0,0
Middle age,Services,Divorced,High School,0,0,telephone,may,579,258.2850101971448,5,yes,1,0,1
Young age,Technician,Married,Professional,1,0,telephone,may,124,258.2850101971448,42,no,0,0,0
Middle age,Services,Married,Professional,0,0,telephone,may,158,258.2850101971448,5,no,0,0,0
Young age,Blue-Collar,Married,Primary,1,0,telephone,may,162,258.2850101971448,10,no,0,0,0
Middle age,Admin.,Married,High School,0,0,telephone,may,211,258.2850101971448,2,no,0,0,0
Middle age,Services,Married,Primary,0,0,telephone,may,173,258.2850101971448,5,no,0,0,0
Young age,Management,Single,Primary,0,0,telephone,may,73,258.2850101971448,7,no,0,0,0
Young age,Technician,Single,Professional,1,0,telephone,may,220,258.2850101971448,3,no,0,0,0
Young age,Blue-Collar,Married,Primary,1,0,telephone,may,110,258.2850101971448,2,no,0,0,0
Middle age,Management,Married,Primary,0,0,telephone,may,99,258.2850101971448,22,no,0,0,0
Old age,Blue-Collar,Married,Primary,1,0,telephone,may,112,258.2850101971448,7,no,0,0,0
Old age,Housemaid,Married,Primary,0,1,telephone,may,168,258.2850101971448,4,no,0,0,0
Young age,Services,Married,Professional,1,0,telephone,may,283,258.2850101971448,3,no,0,0,0
Middle age,Blue-Collar,Divorced,Primary,0,0,telephone,may,235,258.2850101971448,7,no,0,0,0
Middle age,Technician,Single,Professional,1,0,telephone,may,138,258.2850101971448,8,no,0,0,0
Middle age,Technician,Single,Professional,0,0,telephone,may,374,258.2850101971448,6,no,0,0,0
Middle age,Self-Employed,Married,Professional,1,0,telephone,may,353,258.2850101971448,4,no,0,0,0
Middle age,Technician,Single,Professional,0,0,telephone,may,147,258.2850101971448,2,no,0,0,0
Middle age,Blue-Collar,Married,Primary,0,0,telephone,may,332,258.2850101971448,10,no,0,0,0
Young age,Technician,Married,Primary,1,0,telephone,may,179,258.2850101971448,9,no,0,0,0
Young age,Management,Married,Professional,1,0,telephone,may,396,258.2850101971448,9,no,0,0,0
Middle age,Blue-Collar,Single,Professional,1,0,telephone,may,492,258.2850101971448,9,no,0,0,0
Young age,Blue-Collar,Married,Primary,1,0,telephone,may,360,258.2850101971448,2,no,0,0,0
Old age,Housemaid,Married,Unknown,0,0,telephone,may,175,258.2850101971448,2,no,0,0,0
Young age,Admin.,Married,Professional,1,1,telephone,may,97,258.2850101971448,9,no,0,0,0
Young age,Blue-Collar,Single,Primary,0,0,telephone,may,84,258.2850101971448,3,no,0,0,0
Young age,Blue-Collar,Single,Professional,1,0,telephone,may,57,258.2850101971448,7,no,0,0,0
Middle age,Entrepreneur,Married,Professional,1,0,telephone,may,105,258.2850101971448,11,no,0,0,0
Middle age,Blue-Collar,Married,Primary,0,0,telephone,may,886,258.2850101971448,3,no,0,0,0
Young age,Admin.,Unknown,High School,0,0,telephone,may,182,258.2850101971448,8,no,0,0,0
Old age,Blue-Collar,Divorced,Unknown,0,0,telephone,may,467,258.2850101971448,4,no,0,0,0
Young age,Blue-Collar,Married,Primary,0,0,telephone,may,21,258.2850101971448,11,no,0,0,0
Young age,Admin.,Single,Professional,0,0,telephone,may,470,258.2850101971448,4,no,0,0,0
Middle age,Services,Single,High School,1,0,telephone,may,85,258.2850101971448,3,no,0,0,0
Middle age,Admin.,Single,Professional,0,0,telephone,may,120,258.2850101971448,7,no,0,0,0
Young age,Services,Married,High School,0,0,telephone,may,298,258.2850101971448,2,no,0,0,0
Young age,Blue-Collar,Married,Primary,0,0,telephone,may,249,258.2850101971448,2,no,0,0,0
Middle age,Blue-Collar,Married,Professional,0,0,telephone,may,87,258.2850101971448,5,no,0,0,0
Middle age,Blue-Collar,Married,Primary,1,0,telephone,may,622,258.2850101971448,2,no,0,0,0
Middle age,Services,Married,High School,1,0,telephone,may,195,258.2850101971448,4,no,0,0,0
Middle age,Services,Divorced,High School,0,0,telephone,may,179,258.2850101971448,2,no,0,0,0
